Tablo 1
Firma;Konum;Pozisyon;çalışma şekli;Tarih
CS TECH;İstanbul;Software Integration Lead;İş Yerinde;2022
ERİK TEKNOLOJİ LABORATUVARLARI ANONİM ŞİRKETİ;İstanbul;Konfigürasyon Yönetim Uzmanı;Uzaktan / Remote;2022
Teknosa İç ve Dış Ticaret A.Ş.;Ankara;Konfigürasyon Yönetim Uzmanı;Hibrit;2023
ANADOLU DENİZ İNŞAAT KIZAKLARI SANAYİ VE TİCARET A.Ş;İstanbul;Konfigürasyon Yöneticisi;İş Yerinde;2021
FEMSAN ELEKTRİK MOTORLARI SANAYİ VE TİCARET A.Ş.;Bursa;Sr/Expert Data Scientist;İş Yerinde;2022
DSS BİOENFORMATİK ROBOTİK YAZILIM ELEKTRONİK VE MEKANİK ANONİM ŞİRKETİ;Ankara;R&D Data Scientist;İş Yerinde;2023
NTT Data Business Solutions Türkiye;İstanbul;Veri Bilimci;İş Yerinde;2023
Bosch;İstanbul;Veri Bilimci;İş Yerinde;2024
Sektöründe Öncü Firma;İstanbul;Veri Mühendisi;İş Yerinde;2022
Assan Bilişim;İstanbul;Data Engineer;Hibrit;2021
CRONOM BİLİŞİM VE YAZILIM TEKNOLOJİLERİ SAN.VE TİC. LTD. ŞTİ.;İstanbul;Data Engineer;Hibrit;2023
Kariyer.net;Sakarya;Data Security Engineer (New Graduate);Hibrit;2023
BURGAN BANK A.Ş.;Bursa;Veri Mühendisi;Uzaktan / Remote;2022
Kafein Yazılım Hizmetleri Tic. A.Ş.;Ankara;Gömülü Sistem Yazılım Mühendisi;Hibrit;2023
Grafton;İstanbul;Gömülü Sistem Mühendisi;Hibrit;2024
GEDİK HOLDİNG A.Ş.;İstanbul;Uzman Gömülü Sistem Mühendisi;İş Yerinde;2023
FİGES A.Ş;Kocaeli;Firewall Güvenlik Duvarı Sistemleri Uzmanı;İş Yerinde;2022
FİGES A.Ş;İstanbul;Sistem Ağ ve Güvenlik Uzmanı;Hibrit;2022
ALBAYRAK HOLDİNG A.Ş.;İstanbul;Gömülü Sistem Sorumlusu;İş Yerinde;2024
Madame Coco;İstanbul;Android Developer;Hibrit;2021
AYGAZ ANONİM ŞİRKETİ;Ankara;Android Yazılım Uzmanı;İş Yerinde;2021
NTT Data Business Solutions;İstanbul;Oyun Yazılım Uzmanı;Hibrit;2021
Koton;Kayseri;Android Geliştirici;Hibrit;2024
ROKO GAME TEKNOLOJİ ANONİM ŞİRKETİ;İstanbul;Bilgi Teknolojileri Uzman Yardımcısı;İş Yerinde;2024
AppTec Services GmbH;Kocaeli;Bilgi Teknolojileri Uzman Yardımcısı;Uzaktan / Remote;2024
İLBAK HOLDİNG A.Ş.;İstanbul;Sistem Mühendisi Asistanı;İş Yerinde;2024
Turkcell Global Bilgi;İstanbul;Expert Storage Administrator;Hibrit;2022
Repkon Makina Ve Kalıp San. Ve Tic A.Ş.;İstanbul;Sistem Mühendisi;İş Yerinde;2024
Destek Bilgisayar ve İletişim Hizmetleri Ticaret A.Ş.;İstanbul;Sistem Mühendisi;İş Yerinde;2021
DIGITURK;İstanbul;System Engineer;İş Yerinde;2022
MACK TEKNOLOJİ GIDA VE TİC.LTD.ŞTİ.;İstanbul;Sistem Mühendisi;İş Yerinde;2021
Doğuş Yayın Grubu;İstanbul;Sistem Mühendisi;İş Yerinde;2024
PUSULA CUSTOMER EXPERIENCE İLETİŞİM ANONİM ŞİRKETİ;Ankara;Sistem Mühendisi(Voip);İş Yerinde;2022
VOLT TEKNOLOJİ GELİŞTİRME VE MÜHENDİSLİK A.Ş.;İzmir;Sistem Mühendisi;İş Yerinde;2021
NANOGRAFİ NANO TEKNOLOJİ A.Ş.;Ankara;Sistem Mühendisi;İş Yerinde;2024
ALTINAY ELEKTROMOBİLİTE VE ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ;Kocaeli;Elektronik Sistem Mühendisi;İş Yerinde;2024
PUSULA CUSTOMER EXPERIENCE İLETİŞİM ANONİM ŞİRKETİ;Ankara;Yetiştirilmek Üzere Sistem Mühendisi;İş Yerinde;2024
NANOTAM NanoTeknoloji Araştırma Merkezi;Ankara;Fiber Optik Sistem Tasarım ve Üretim Mühendisi;İş Yerinde;2023
EHSİM Elektronik Harp Sistemleri Müh. Tic. A.Ş.;Ankara;Sistem Mühendisi;İş Yerinde;2024
VOLT TEKNOLOJİ GELİŞTİRME VE MÜHENDİSLİK A.Ş.;İzmir;Uzman Sistem Mühendisi;İş Yerinde;2023
INGRAM MİCRO BİLİŞİM SİSTEMLERİ ANONİM ŞİRKETİ;İstanbul;System Engineer;İş Yerinde;2021
ORTEM ELEKTRONİK ANONİM ŞİRKETİ;İstanbul;Sistem Mühendisi;İş Yerinde;2023
METEKSAN SAVUNMA SANAYİ A.Ş.;Ankara;Sistem Baş Mühendisi;İş Yerinde;2024
Yapı Merkezi İdis Mühendislik Sanayi ve Ticaret A.Ş;İstanbul;Sistem Mühendisi;Hibrit;2022
Türkiye Finans Katılım Bankası;İstanbul;Veri Ambarı ve Büyük Veri Kıdemli Yazılımcı;Hibrit;2021
Burgan Bank Türkiye;Ankara;Veri Ambarı ve Raporlama Uzmanı;Uzaktan / Remote;2023
MAREN ROBOTICS;İstanbul;Kıdemli Donanım Tasarım Mühendisi;İş Yerinde;2024
BİRİKİM PİLLERİ BATARYA TEKNOLOJİLERİ ANONİM ŞİRKETİ;Sakarya;Donanım Mühendisi;İş Yerinde;2023
ESKA VALVE A.Ş.;Ankara;Elektronik Donanım Mühendisi;İş Yerinde;2021
Savronik Elektronik;Ankara;Donanım Mühendisliği Müdürü;İş Yerinde;2024
METEKSAN SAVUNMA SANAYİ A.Ş.;İstanbul;Kıdemli Donanım Test Mühendisi;İş Yerinde;2022
EREM TECH ENDÜSTRİYEL TESİSLER ANONİM ŞİRKETİ;İzmir;Web Geliştirme Uzmanı;İş Yerinde;2024
Janoschka Baskı Silindirleri San. Tic. A.Ş.;İstanbul;Full Stack Web Developer;Hibrit;2022
Clinicexpert.net;Ankara;Web Geliştirme Uzmanı;İş Yerinde;2022
SmartICT Bilişim A.Ş;İstanbul;Fullstack Developer (Java/Angular);İş Yerinde;2022
Hospitadent Dental Group;İstanbul;Web Geliştirme Uzmanı;İş Yerinde;2022
Acıbadem Sağlık Hizmetleri Tic. A.Ş.;İstanbul;Full Stack Web Developer;İş Yerinde;2022
Acıbadem Sağlık Hizmetleri Tic. A.Ş.;İstanbul;Front End Web Developer;İş Yerinde;2024
MESS Group İnşaat Petrol Harfiyat Hayvancılık Taahhüt Sanayi ve Ticaret Limited Şirketi;İstanbul;Web Geliştirme Uzmanı;İş Yerinde;2022
BİLİMEVİ EĞİTİM DANIŞMANLIK ANONİM ŞİRKETİ;İstanbul;Web Developer;İş Yerinde;2023
EVMANN YÖNETİM HİZMETLERİ VE DANIŞMANLIK ANONİM ŞİRKETİ;İstanbul;Uygulama Geliştirme Yöneticisi;Hibrit;2022
TEV - Türk Eğitim Vakfı;İstanbul;Mobile Developer (Flutter);İş Yerinde;2023
YEK TEKNOLOJİ PAZARLAMA A.Ş;Ankara;Yazılım Geliştirici;İş Yerinde;2022
N2mobil Takip Sistemleri A.Ş;Ankara;Full Stack Web Developer;İş Yerinde;2022
SHAMS BİLGİ TEKNOLOJİLERİ ANONİM ŞİRKETİ;İstanbul;Mid. Full Stack Engineer;Hibrit;2024
Teknosa İç ve Dış Ticaret A.Ş.;İstanbul;React Native Developer;Hibrit;2023
Madame Coco;İstanbul(Avr.) +4 il daha;Bilgi Teknolojileri İş Ortağı Müdürü;İş Yerinde;2021
Teleperformance Türkiye;Van;Bilgi Teknolojileri Stajyeri;İş Yerinde;2022
M Plus;İstanbul;Bilgi Teknolojileri \ IT Stajyeri Van;İş Yerinde;2021
Lila Kağıt San. ve Tic A.Ş.;İstanbul;Bilgi Teknolojileri Stajyeri;İş Yerinde;2023
Nesine.com;Kocaeli;Siber Güvenlik Analisti;Uzaktan / Remote;2022
Sompo Sigorta A.Ş.;İstanbul (Tümü),  İzmir;Veri Tabanı Yöneticisi;Hibrit;2023
Seykoç Alüminyum Paz ve Sn. Tic. Ltd. Şti.;Kocaeli;Veri Tabanı Uzmanı;İş Yerinde;2022
TÜRKİYE İHRACAT KREDİ BANKASI A.Ş.;İstanbul;Veri Tabanı Deneyimli Uzmanı;Hibrit;2023
Palmet Şirketler Grubu;İstanbul;Veri Tabanı Uzmanı;İş Yerinde;2021
Mikrogrup;İstanbul;Veri Tabanı Uzmanı;Hibrit;2023
Sektöründe Öncü Firma;Ankara;Veri Tabanı Uzmanı;İş Yerinde;2022
HairMed;Antalya;Yazılım Destek Elemanı;İş Yerinde;2024
Atasay Kuyumculuk;İstanbul;Yazılım Destek Elemanı;İş Yerinde;2021
Lokman Hekim Sağlık Grubu;Ankara;Yazılım Destek Elemanı;İş Yerinde;2022
MUTLU CAN YAZILIM ANONİM ŞİRKETİ;İzmir;Yazılım Destek Elemanı;İş Yerinde;2022
Berk Ay Sağlık Hizmetleri A.Ş.;Konya;Yazılım Destek Elemanı;İş Yerinde;2024
AIFA GLOBAL BİLİŞİM HİZMETLERİ LİMİTED ŞİRKETİ;İstanbul;Yazılım Destek Elemanı;İş Yerinde;2021
Lignadecor Üretim ve Pazarlama A.Ş.;İstanbul;Yazılım Destek Uzmanı;İş Yerinde;2023
BULUT İNTERNET YAZILIM LİMİTED ŞİRKETİ;Kocaeli;Linux Sistem Uzmanı;İş Yerinde;2024
HAVANSOFT BİLİŞİM TEKNOLOJİLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ;İstanbul;Yazılım Destek Elemanı;İş Yerinde;2024
BOTANİK YAZILIM TİC. LTD. ŞTİ.;Adana;Yazılım Destek Elemanı;İş Yerinde;2021
peak tech ltd şti;Ankara;Full Stack E Commerce Web Developer;İş Yerinde;2022
Webimedya;İstanbul;ASP.NET Web Yazılım Uzmanı;İş Yerinde;2021
SmartICT Bilişim A.Ş;Ankara;Frontend Developer (React Js.);İş Yerinde;2023
HEALTHBOOK SAĞLIK HİZMETLERİ ORGANİZASYON TURİZM TİCARET LİMİTED ŞİRKETİ;Antalya;Web Yazılım Uzmanı;İş Yerinde;2021
Bilyoner İnteraktif Hizmetler A.Ş.;Antalya;DevOps Engineer;İş Yerinde;2022
Bileşim Finansal Teknolojiler ve Ödeme Sistemleri A.Ş.;İstanbul;DevOps Mühendisi;Hibrit;2022
MİA TEKNOLOJİ A.Ş.;Ankara;DevOps Mühendisi;Hibrit;2021
Lotec Teknoloji Ltd. Şti;Ankara;DevOps Engineer (Aws);İş Yerinde;2022
İçdaş Çelik Enerji Tersane ve Ulaşım San. A.Ş.;İstanbul;SAP ABAP Yazılımcısı;İş Yerinde;2021
TEMSA SKODA SABANCI ULAŞIM ARAÇLARI A.Ş;İstanbul;SAP ABAP Developer;Hibrit;2021
Mtclinen tekstil;Denizli;Yazılım Destek Uzmanı;İş Yerinde;2022
Horoz Lojistik Kargo Hizmetleri ve Tic. A.Ş.;İstanbul;Yazılım Destek Uzmanı;Hibrit;2024
Proliz Yazılım;Ankara;Yazılım Destek Uzmanı;İş Yerinde;2024
Timecom Bilgisayar Yazılım ve Basın Yayıncılık Hi;Ankara;Yazılım Destek Uzmanı;İş Yerinde;2023
ATG Hotels;Antalya;Yazılım Destek Uzmanı;İş Yerinde;2023
Memorial Sağlık Grubu;İstanbul;Medikal IT Uzmanı;Hibrit;2024
Ark He Yazılım Teknolojileri ve Turizm Danışmanlı;İstanbul;Yazılım Destek Uzmanı;İş Yerinde;2021
TEKPROSİS BİLGİSAYAR YAZILIM DANIŞMANLIK VE EĞİTİM HİZMETLERİ İÇ VE DIŞ TİCARET LİMİT;İstanbul;Yazılım Destek Uzmanı;İş Yerinde;2024
NTT Data Business Solutions;İstanbul;CX Ams Support Consultant;Hibrit;2023
CLEAN TEMİZLİK VE DANIŞMANLIK HİZMETLERİ A.Ş.;İstanbul;Yazılım Destek Uzmanı;İş Yerinde;2023
EVOSET Bilgisayar Teknolojileri ve Yazılım Hizmetleri LTD. ŞTİ.;İzmir;Yazılım Destek Uzmanı;İş Yerinde;2023
Industrial Application Software;İstanbul;Software Support Specialist;İş Yerinde;2022
Sektöründe Lider Firma;İstanbul;Yazılım Destek Uzmanı;Hibrit;2022
BİLİN YAZILIM VE BİLİŞİM DANIŞMANLIĞI A.Ş.;İstanbul;Yazılım Destek Uzmanı;Hibrit;2023
Anex Tour;Antalya;Yazılım Destek Uzmanı;İş Yerinde;2021
ProE Teknoloji;Ankara;Sistem Analisti (Dijital Ticaret);Hibrit;2024
Bizim Toptan Satış Mağazaları A.Ş.;İstanbul;Yazılım Destek Uzmanı;Hibrit;2024
Acıbadem Sağlık Hizmetleri Tic. A.Ş.;Ankara;SAP ABAP Danışmanı;İş Yerinde;2024
SPECTRUM GİRİŞİMCİLİK YATIRIMCILIK YAZILIM DANIŞMANLIK A.Ş.;İstanbul;ICT + Security Design Engineer;Hibrit;2024
Ghafari;İstanbul;IT Engineer;Hibrit;2022
Bhs Makine ve Kağıt San.Tic.Ltd.Şti;Eskişehir;Kıdemli Frontend Geliştirici(Angular);İş Yerinde;2023
ES KARİYER DANIŞMANLIK;İstanbul;Kıdemli Frontend Geliştirici (Angular/Uı);İş Yerinde;2022
EnginSoft Turkey;İstanbul;Sistem Test Mühendisi;İş Yerinde;2022
Data Hidrolik Makina Sanayi A.Ş.;İstanbul;Sistem Test Mühendisi;İş Yerinde;2022
ÜSTÜNOVA MÜHENDİSLİK VE ARAŞTIRMA GELİŞTİRME ANONİM ŞİRKETİ;İstanbul;Sistem Test Mühendisi;İş Yerinde;2021
EHSİM Elektronik Harp Sistemleri Müh. Tic. A.Ş.;Ankara;Sistem / Donanım Test Mühendisi;İş Yerinde;2022
Dünya Varlık Yönetim A.Ş.;İstanbul;Yazılım Mimarı/Devops;Hibrit;2021
Uluğ Enerji Dağıtım ve Perakende Satış Hizmetleri;Ankara;DevOps Uzmanı;Hibrit;2022
TURBOARD (E-Kalite);Ankara;System Admin;İş Yerinde;2024
Faturamatik Elektr. Para ve Ödeme Kur. A.Ş.;İstanbul;Mobil Yazılım Uzmanı (Flutter);İş Yerinde;2022
Horoz Lojistik Kargo Hizmetleri ve Tic. A.Ş.;İstanbul;Mobil Yazılım Uzmanı;Hibrit;2023
Turkuvaz Medya Grubu;İstanbul;Mobil Yazılım Uzmanı;Hibrit;2023
MİA TEKNOLOJİ A.Ş.;Ankara;Sr. Mobil Developer - Flutter;İş Yerinde;2024
İsgold Altın Rafinerisi A.Ş.;İstanbul;Frontend Yazılım Uzmanı (Flutter);İş Yerinde;2022
STG Mühendislik Stratejik Teknolojiler Geliştirme ve Üretim A.Ş.;Ankara;Uzman Sayısal Tasarım ve Doğrulama Mühendisi;İş Yerinde;2021
ROKO GAME TEKNOLOJİ ANONİM ŞİRKETİ;İstanbul;Sistem ve Network Mühendisi;İş Yerinde;2023
Tron Elektronik Sistemler A.Ş.;İstanbul;Sayısal Tasarım Mühendisi;İş Yerinde;2021
Exodus Danışmanlık;Ankara;Network Mühendisi;İş Yerinde;2024
Türk Telekom International;İstanbul;Noc Backoffice Engineer;İş Yerinde;2024
Sektöründe Lider Firma;İstanbul;Noc Engineer;İş Yerinde;2023
DIGITURK;İstanbul;Core Transport Network Engineer;İş Yerinde;2021
KAHRAMAN KONAKLAMA VE TURİZM TİCARET ANONİM ŞİRKETİ;Trabzon;Bilgi Teknolojileri Elemanı;İş Yerinde;2024
YILDIRIM HOLDİNG A.Ş.;İstanbul;SAP Basis Consultant/Administrator;İş Yerinde;2024
Qnb Sağlık Hayat ve Emeklilik A.Ş.;İstanbul;BT Bütçe ve Tedarikçi Yönetimi;Hibrit;2023
İRİS Telekomünikasyon ve Mühendislik Hiz. A.Ş.;Ankara;Network Destek Mühendisi;İş Yerinde;2021
ELDA HALI TEKSTİL SAN.TİC.A.Ş.;Kayseri;Network ve Siber Güvenlik Uzmanı;İş Yerinde;2024
FARKLI YATIRIM İNŞAAT ANONİM ŞİRKETİ;İstanbul;İç Güvenlik Uzmanı;İş Yerinde;2023
Kariyer.net;İstanbul;Veritabanı Yöneticisi;Uzaktan / Remote;2024
NGN Bilgi Teknolojileri Veri Merkezi Hizmetleri ve Danışmanlık A.Ş.;İstanbul;System Presales Engineer;İş Yerinde;2022
Destek Bilgisayar ve İletişim Hizmetleri Ticaret A.Ş.;Kocaeli;Satış Öncesi Destek Mühendisi;İş Yerinde;2021
Anka Mikroelektronik Sistemler (ANKASYS);İstanbul;Design Verification Engineer;İş Yerinde;2022
Grup Florence Nightingale Hastaneleri;İstanbul;Hbys Destek Uzmanı;İş Yerinde;2024
Huhtamaki Flexibles Türkiye;İstanbul;Technical Field Service Junior Specialist - R&D;İş Yerinde;2022
Gizli Firma;İstanbul;IT Operations Senior Specialist;Hibrit;2021
CLUB JOLLY TURİZM VE TİCARET A.Ş;Kocaeli;IT Operasyonları Uzmanı/Uzman Yardımcısı;İş Yerinde;2021
TRELLEBORG;Kocaeli;IT Operations;İş Yerinde;2022
POSİTRONE TEST HİZMETLERİ ANONİM ŞİRKETİ;İstanbul;IT Operasyon Uzmanı;Hibrit;2023
Faturamatik Elektr. Para ve Ödeme Kur. A.Ş.;İstanbul;Front-End Developer (Next.Js/ React.Js);Hibrit;2024
Moda Selvim;Antalya;Front End Geliştirici;İş Yerinde;2023
SAN Tourism Software Group;İstanbul;Front End Geliştirici;İş Yerinde;2024
Jengal Yazılım;Ankara;Front-End Developer;Hibrit;2021
Erpa Ödeme Hizmetleri ve Elektronik Para A.Ş.;İstanbul;Front-End Geliştirici;İş Yerinde;2022
WİPELOT TEKNOLOJİ SANAYİ ANONİM ŞİRKETİ;İstanbul;Front-End Geliştirici;Hibrit;2021
EBG Bilişim Teknolojileri ve Hizmetleri A.Ş.;Kocaeli;.Net Front-End Yazılım Geliştirme Uzmanı;İş Yerinde;2021
DiNAMiK BILGI TEKNOLOJiLERi ANONiM ŞiRKETi;İstanbul;Senior Frontend Developer;İş Yerinde;2023
Balance Network Kripto Varlık Bilişim ve Teknoloji A.Ş.;İzmir;Mid Level Front-End Geliştirici;İş Yerinde;2021
REKA GRUP DANIŞMANLIK VE TİCARET LİMİTED ŞİRKETİ;Antalya;Front-End Geliştirici;İş Yerinde;2021
İMECAR ELEKTRONİK SANAYİ VE TİC.LTD.ŞTİ.;İzmir;Front-End Geliştirici;İş Yerinde;2021
BRANDS A GIDA VE TÜKETİM MALZEMELERİ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKET;İstanbul;Frontend Developer;İş Yerinde;2023
TÜPRAG METAL MADENCİLİK SANAYİ VE TİC.A.Ş.;İzmir;Bilgi Teknolojileri Mühendisi;İş Yerinde;2021
Ghafari;İstanbul;ICT + Security Design Engineer;Hibrit;2023
Bhs Makine ve Kağıt San.Tic.Ltd.Şti;Eskişehir;IT Engineer;İş Yerinde;2024
ES KARİYER DANIŞMANLIK;İstanbul;Kıdemli Frontend Geliştirici(Angular);İş Yerinde;2021
SmartICT Bilişim A.Ş;Ankara;Kıdemli Frontend Geliştirici (Angular/Uı);İş Yerinde;2021
SmartICT Bilişim A.Ş;Ankara;Sistem Test Mühendisi;İş Yerinde;2023
EnginSoft Turkey;İstanbul;Sistem Test Mühendisi;İş Yerinde;2024
Data Hidrolik Makina Sanayi A.Ş.;İstanbul;Sistem Test Mühendisi;İş Yerinde;2022
ÜSTÜNOVA MÜHENDİSLİK VE ARAŞTIRMA GELİŞTİRME ANONİM ŞİRKETİ;İstanbul;Sistem / Donanım Test Mühendisi;İş Yerinde;2023
EHSİM Elektronik Harp Sistemleri Müh. Tic. A.Ş.;Ankara;Yazılım Mimarı/Devops;İş Yerinde;2024
Dünya Varlık Yönetim A.Ş.;İstanbul;DevOps Uzmanı;Hibrit;2024
Uluğ Enerji Dağıtım ve Perakende Satış Hizmetleri;Ankara;System Admin;Hibrit;2023
TURBOARD (E-Kalite);Ankara;Sr. Mobil Developer - Flutter;İş Yerinde;2023
MİA TEKNOLOJİ A.Ş.;Ankara;Mobil Yazılım Uzmanı (Flutter);İş Yerinde;2022
Faturamatik Elektr. Para ve Ödeme Kur. A.Ş.;İstanbul;Mobil Yazılım Uzmanı;İş Yerinde;2024
Horoz Lojistik Kargo Hizmetleri ve Tic. A.Ş.;İstanbul;Mobil Yazılım Uzmanı;Hibrit;2022
Turkuvaz Medya Grubu;İstanbul;Frontend Yazılım Uzmanı (Flutter);Hibrit;2023
İsgold Altın Rafinerisi A.Ş.;İstanbul;Uzman Sayısal Tasarım ve Doğrulama Mühendisi;İş Yerinde;2023
STG Mühendislik Stratejik Teknolojiler Geliştirme ve Üretim A.Ş.;Ankara;Sistem ve Network Mühendisi;İş Yerinde;2021
ROKO GAME TEKNOLOJİ ANONİM ŞİRKETİ;İstanbul;Sayısal Tasarım Mühendisi;İş Yerinde;2021
Tron Elektronik Sistemler A.Ş.;İstanbul;Network Mühendisi;İş Yerinde;2024
Exodus Danışmanlık;Ankara;Noc Backoffice Engineer;İş Yerinde;2024
Türk Telekom International;İstanbul;Noc Engineer;İş Yerinde;2021
Sektöründe Lider Firma;İstanbul;Core Transport Network Engineer;İş Yerinde;2024
DIGITURK;İstanbul;Bilgi Teknolojileri Elemanı;İş Yerinde;2023
KAHRAMAN KONAKLAMA VE TURİZM TİCARET ANONİM ŞİRKETİ;Trabzon;SAP Basis Consultant/Administrator;İş Yerinde;2023
YILDIRIM HOLDİNG A.Ş.;İstanbul;BT Bütçe ve Tedarikçi Yönetimi;İş Yerinde;2021
Qnb Sağlık Hayat ve Emeklilik A.Ş.;İstanbul;Network Destek Mühendisi;Hibrit;2022
İRİS Telekomünikasyon ve Mühendislik Hiz. A.Ş.;Ankara;Network ve Siber Güvenlik Uzmanı;İş Yerinde;2023
ELDA HALI TEKSTİL SAN.TİC.A.Ş.;Kayseri;İç Güvenlik Uzmanı;İş Yerinde;2021
FARKLI YATIRIM İNŞAAT ANONİM ŞİRKETİ;İstanbul;Veritabanı Yöneticisi;İş Yerinde;2021
Kariyer.net;İstanbul;Satış Öncesi Destek Mühendisi;Uzaktan / Remote;2021
Destek Bilgisayar ve İletişim Hizmetleri Ticaret A.Ş.;İstanbul;System Presales Engineer;İş Yerinde;2022
NGN Bilgi Teknolojileri Veri Merkezi Hizmetleri ve Danışmanlık A.Ş.;Kocaeli;Design Verification Engineer;İş Yerinde;2023
Anka Mikroelektronik Sistemler (ANKASYS);İstanbul;Hbys Destek Uzmanı;İş Yerinde;2024
Grup Florence Nightingale Hastaneleri;İstanbul;Technical Field Service Junior Specialist - R&D;İş Yerinde;2023
Huhtamaki Flexibles Türkiye;İstanbul;IT Operations Senior Specialist;İş Yerinde;2021
Gizli Firma;İstanbul;IT Operasyonları Uzmanı/Uzman Yardımcısı;Hibrit;2022
CLUB JOLLY TURİZM VE TİCARET A.Ş;Kocaeli;IT Operations;İş Yerinde;2024
TRELLEBORG;Kocaeli;IT Operasyon Uzmanı;İş Yerinde;2024
POSİTRONE TEST HİZMETLERİ ANONİM ŞİRKETİ;İstanbul;Front-End Developer (Next.Js/ React.Js);Hibrit;2022
Faturamatik Elektr. Para ve Ödeme Kur. A.Ş.;İstanbul;Front End Geliştirici;Hibrit;2022
Moda Selvim;Antalya;Front End Geliştirici;İş Yerinde;2022
SAN Tourism Software Group;İstanbul;Front-End Developer;İş Yerinde;2022
Jengal Yazılım;Ankara;Front-End Geliştirici;Hibrit;2023
Erpa Ödeme Hizmetleri ve Elektronik Para A.Ş.;İstanbul;Front-End Geliştirici;İş Yerinde;2023
WİPELOT TEKNOLOJİ SANAYİ ANONİM ŞİRKETİ;İstanbul;.Net Front-End Yazılım Geliştirme Uzmanı;Hibrit;2023
EBG Bilişim Teknolojileri ve Hizmetleri A.Ş.;Kocaeli;Senior Frontend Developer;İş Yerinde;2023
DiNAMiK BILGI TEKNOLOJiLERi ANONiM ŞiRKETi;İstanbul;Mid Level Front-End Geliştirici;İş Yerinde;2022
Turkcell Global Bilgi;Edirne;Edirne - Banka Çağrı Merkezi Müşteri Temsilcisi;Hibrit;2024
oBilet Bilişim Sistemleri Aş;İstanbul;Çağrı Merkezi Müşteri Deneyimi Uzman Yardımcısı;Hibrit;2022
Rem Araştırma Hizmetleri Bilişim San. Tic.;İstanbul;Eğitim ve Geliştirme Uzmanı;Hibrit;2024
Aerotek Bilişim Sanayi ve Ticaret AŞ.;Kocaeli;Sistem Mühendisi;Hibrit;2021
REEDER;Hatay;Mağaza Satış Danışmanı Reeder Primemall Avm;İş Yerinde;2023
Argedan Bilişim A.Ş.;İstanbul;Kurumsal Satış Uzmanı;İş Yerinde;2022
ORION POS SİSTEMLERİ ANONİM ŞİRKETİ;İstanbul;Muhasebe Uzmanı;İş Yerinde;2021
REEDER;Trabzon;Mağaza Satış Danışmanı Reeder Rubenis Avm;İş Yerinde;2023
NEW MIND BİLGİ YÖNETİM SİSTEMLERİ A.Ş;İstanbul;İthalat ve İhracat Operasyon Sorumlusu;İş Yerinde;2024
Kemerburgaz Ofis ve Okul Gereçleri Sanayi Ticaret A.Ş.;İstanbul;Bölge Satış Yöneticisi;İş Yerinde;2023
Seyir Mobil Yazılım Elektronik Otomasyon Sistemler;Kocaeli;Bekçi;İş Yerinde;2022
Seyir Mobil Yazılım Elektronik Otomasyon Sistemler;İstanbul ;Elektrik Teknisyeni;İş Yerinde;2024
Seyir Mobil Yazılım Elektronik Otomasyon Sistemler;Kocaeli;Üretim Elemanı;İş Yerinde;2023
PERKOTEK TEKNOLOJİ DIŞ TİCARET ANONİM ŞİRKETİ;İstanbul;Mağaza Müdürü Reeder Arasta Park Avm;İş Yerinde;2024
Kutez Makine San.Tic.Ltd. Şti.;İstanbul;Mağaza Müdürü Reeder Çerkezköy Center;İş Yerinde;2022
REEDER;Kocaeli;Mağaza Satış Danışmanı Reeder Trend Arena Avm;İş Yerinde;2022
REEDER;Tekirdağ;Mağaza Satış Danışmanı Reeder Çerkezköy Center;İş Yerinde;2021
REEDER;Tekirdağ;Reeder (Westpark Avm )Mağaza Satış Danışmanı;İş Yerinde;2023
REEDER;Tekirdağ;Mağaza Müdürü Reeder Çeşme Cadde Plus Avm;İş Yerinde;2023
REEDER;İzmir;Mağaza Satış Danışmanı Reeder Cadde 54 Avm;İş Yerinde;2024
REEDER;İzmir;Mağaza Satış Danışmanı Reeder Çeşme Plus Avm;İş Yerinde;2022
REEDER;Sakarya;Mağaza Satış Danışmanı Bodrum Avenue Avm;İş Yerinde;2023
REEDER;İzmir;Satış Destek Uzmanı;İş Yerinde;2024
REEDER;Muğla;Saha Satış Danışmanı;İş Yerinde;2021
Cellnet Bilişim Teknolojileri A.Ş.;Kocaeli;Kobi Müşteri Yöneticisi;İş Yerinde;2024
Cellnet Bilişim Teknolojileri A.Ş.;Kocaeli ;Mağaza Satış Danışmanı Reeder Park Bornova Avm;İş Yerinde;2022
Cellnet Bilişim Teknolojileri A.Ş.;Bolu ;Satış Destek Sorumlusu;İş Yerinde;2022
REEDER;İzmir;Eğitim Satış Danışmanı;İş Yerinde;2023
Egeria Yazılım ve Danışmanlık Hizmetleri;İzmir;Mağaza Satış Danışmanı - Forum Bornova İzmir;Hibrit;2023
EKurs Eğitim Yayıncılık ve Prodüksiyon Hizmetleri;İzmir;Teknik Destek Elemanı;Uzaktan / Remote;2022
İÇKALE BİLİŞİM DAĞITIM İLETİŞİM HİZMETLERİ A.Ş.;İstanbul;Senior AI Engineer;İş Yerinde;2023
robotPOS Otomasyon Sistemleri A.Ş.;Ankara;Oracle Uygulamaları Danışmanı;İş Yerinde;2022
